Theta   Phi   Ki
25.00   221.00   -0.0035947400
25.00   224.00   -0.0118513000
25.00   227.00   -0.0219466000
25.00   230.00   -0.0276670000
25.00   233.00   -0.0335356000
25.00   236.00   -0.0326668000
25.00   239.00   -0.0216863000
25.00   242.00   -0.0269385000
25.00   245.00   -0.0253341000
25.00   248.00   -0.0233318000
25.00   251.00   -0.0163249000
25.00   254.00   -0.0113088000
25.00   257.00   0.0058415000
25.00   260.00   0.0134120000
25.00   263.00   0.0164630000
25.00   266.00   0.0283311000
25.00   269.00   0.0198236000
25.00   272.00   0.0209872000
25.00   275.00   0.0167543000
25.00   278.00   0.0210671000
25.00   281.00   0.0072746600
25.00   284.00   -0.0009438780
28.00   47.00   0.0253811000
28.00   50.00   0.0176675000
28.00   53.00   0.0144393000
28.00   56.00   0.0072750300
28.00   59.00   -0.0052775400
28.00   62.00   -0.0141165000
28.00   65.00   -0.0200238000
28.00   68.00   -0.0233615000
28.00   71.00   -0.0232541000
28.00   74.00   -0.0167663000
28.00   77.00   -0.0139939000
28.00   80.00   0.0134143000
28.00   83.00   0.0097279100
28.00   86.00   0.0154984000
28.00   89.00   0.0115976000
28.00   92.00   0.0168338000
28.00   95.00   0.0167520000
28.00   98.00   0.0179819000
28.00   101.00   0.0086028400
28.00   104.00   -0.0042780300
28.00   107.00   -0.0188904000
28.00   110.00   -0.0255377000
28.00   113.00   -0.0310443000
28.00   116.00   -0.0351898000
28.00   119.00   -0.0331115000
28.00   122.00   -0.0291120000
28.00   125.00   -0.0346153000
28.00   128.00   -0.0299020000
28.00   131.00   -0.0165874000
28.00   134.00   -0.0054360800
28.00   137.00   0.0015266700
28.00   140.00   0.0128156000
28.00   143.00   0.0192546000
28.00   146.00   0.0213429000
28.00   149.00   0.0218941000
28.00   152.00   0.0323509000
28.00   155.00   0.0324864000
28.00   158.00   0.0289303000
28.00   161.00   0.0232291000
28.00   164.00   0.0101472000
28.00   167.00   0.0253809000
28.00   170.00   0.0176676000
28.00   173.00   0.0144393000
28.00   176.00   0.0072750600
28.00   179.00   -0.0052776400
28.00   182.00   -0.0141165000
28.00   185.00   -0.0200237000
28.00   188.00   -0.0233616000
28.00   191.00   -0.0232540000
28.00   194.00   -0.0167661000
28.00   197.00   -0.0139941000
